Time,AirExchangeRate
0,0.49230949406898655
1,0.39176509764745054
2,0.5330159113077433
3,0.49203441515853247
4,0.4690674817307533
5,0.40186737539113615
6,0.5201425190502197
7,0.4991223764880086
8,0.524022043860645
9,0.40740434326780994
10,0.5096296788770841
11,0.4991223764880086
12,0.4880111917233301
13,0.4091374019774974
14,0.5725737188663039
15,0.5725737188663039
16,0.5091736112289753
17,0.4103321638866662
18,0.5384438869855945
19,0.5351122843943421
20,0.4803266221030301
21,0.3997471332402561
22,0.5215350515015863
23,0.4681037411043225
