StopTime,Pressure
1,-1.4087209062821788
2,-1.465658649789026
3,-2.91375147679325
4,-3.0473805907173013
5,-3.1740316455696163
6,-2.7842839662447263
7,-2.917202531645574
8,-2.823932067510543
9,-1.704646413502109
10,-2.194154852320679
11,-0.7490139240506337
12,-0.6230670886075943
13,-0.5705651438240265
14,-0.5013115384615395
15,-0.6284677212483972
16,-0.8391516169676604
17,-0.913483333333333
18,-1.1925208333333346
19,-1.301026666666665
20,-1.3191025000000018
21,-1.2546870833333332
22,-1.3361537500000016
23,-1.1621904166666648
