% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 12:26"
% Table,Silt - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,6.842636111944243E-6,1.893865237820197E-4,0.07195449135193878,2.7575823531135303E-6,1.1489926471306379E-7
-13,6.706151075236973E-6,1.6413498727716448E-4,0.06236055917145777,2.7025788833205002E-6,1.1260745347168758E-7
-11,6.569689255683379E-6,1.388834507727276E-4,0.052766626991135726,2.647584770040402E-6,1.1031603208501652E-7
-9,6.433321512541387E-6,1.1363191426855534E-4,0.04317269481091391,2.592628569554179E-6,1.0802619039809079E-7
-7,6.297090917810056E-6,8.838037776428321E-5,0.033578762630654416,2.5377276398774527E-6,1.0573865166156024E-7
-5,6.161045415634632E-6,6.312884126061305E-5,0.02398483045062346,2.482901302500757E-6,1.034542209375318E-7
-3,6.02520369556427E-6,3.7877304756228266E-5,0.014390898270320982,2.428157089312401E-6,1.0117321205468351E-7
-1,5.8895028731549145E-6,1.2625768252067645E-5,0.004796966090103805,2.3734696578814307E-6,9.889456907839254E-8
1,5.754216801528748E-6,-1.26257682520528E-5,-0.004796966090098169,2.3189493710160856E-6,9.6622890459004E-8
3,5.619743494272675E-6,-3.787730475621898E-5,-0.01439089827031753,2.2647566281918882E-6,9.436485950799553E-8
5,5.486349899173161E-6,-6.312884126060502E-5,-0.023984830450620512,2.210999009366784E-6,9.212495872361603E-8
7,5.354450569691885E-6,-8.838037776446795E-5,-0.03357876263072464,2.1578435795858297E-6,8.991014914940957E-8
9,5.224296935717019E-6,-1.1363191426856897E-4,-0.04317269481091906,2.1053916650939588E-6,8.772465271224807E-8
11,5.09604804878454E-6,-1.3888345077347415E-4,-0.052766626991419374,2.05370736366017E-6,8.557114015250709E-8
13,4.969821624209725E-6,-1.6413498727749985E-4,-0.06236055917158537,2.0028381145565194E-6,8.345158810652159E-8
15,4.845707173841374E-6,-1.8938652378130844E-4,-0.07195449135166875,1.952819991058074E-6,8.136749962741992E-8
